Ano;Data_Referencia;Empresa;CNPJ;Demonstracao;Categoria;Metrica;Rotulo;Codigo_Conta;Descricao_CVM;Valor_R$_mil;Valor_R$_milhoes;Moeda;Escala_Original;Versao_DFP;Fonte
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Total;Ativo total;1;Ativo Total;37311858,0;37311,858;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Circulante;Ativo circulante;1.01;Ativo Circulante;19550824,0;19550,824;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Caixa;Caixa e equivalentes;1.01.01;Caixa e Equivalentes de Caixa;1827197,0;1827,197;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Contas_a_Receber;Contas a receber;1.01.03;Contas a Receber;5833528,0;5833,528;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Estoques;Estoques;1.01.04;Estoques;7611132,0;7611,132;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Total;Passivo total e patrimônio líquido;2;Passivo Total;37311858,0;37311,858;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Circulante;Passivo circulante;2.01;Passivo Circulante;16710550,0;16710,55;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_CP;Empréstimos e financiamentos de curto prazo;2.01.04;Empréstimos e Financiamentos;1402168,0;1402,168;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_LP;Empréstimos e financiamentos de longo prazo;2.02.01;Empréstimos e Financiamentos;3179992,0;3179,992;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Patrimonio_Liquido;Patrimônio líquido consolidado;2.03;Patrimônio Líquido Consolidado;11319262,0;11319,262;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCO;Fluxo de caixa operacional;6.01;Caixa Líquido Atividades Operacionais;15835331,0;15835,331;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCI;Fluxo de caixa de investimento;6.02;Caixa Líquido Atividades de Investimento;-1290606,0;-1290,606;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Imobilizado;Aquisição de imobilizado;6.02.01;Aquisicao de Imobilizado;-266600,0;-266,6;REAL;MIL;1;DFP 2024 - CVM
